5,casserole,potatoes,sugar_cookies,avocado_toast,blueberry_muffins,cinnamin_rolls,cake_pops
6/4/2025 9:22:26,,9,,,7,8,
6/4/2025 9:22:45,,10,,,,10,9
6/4/2025 9:22:50,6,,4,7,,,8
6/4/2025 9:28:43,8,7,4,9,9,8,10
6/4/2025 9:29:01,,7,7,6,,,8
6/4/2025 9:29:39,8.5,8.1,6.7,7.5,7.9,7.4,8.1
6/4/2025 9:41:18,8,8,5,,,,10
6/4/2025 9:41:45,,9.2,,,,,
6/4/2025 9:45:38,,,10,9,7.8,8,
6/4/2025 9:46:08,6.7,8.3,,9.4,8.6,9.5,9.3
6/4/2025 9:46:32,8,6,5,6,5,,
6/4/2025 9:46:36,,9,,9,,,9
6/4/2025 9:46:38,,9.6,,,7.9,,
6/4/2025 9:46:47,7,10,,8,,,7
6/4/2025 9:47:26,,10,,10,,,